Month,Day,Text,HTML,Rank,Name,Title,Date/Year
January,1,The Holy Name of Our Lord Jesus Christ,<strong>The Holy Name of Our Lord Jesus Christ</strong>,Major,Holy Name,Feast,
January,4,Elizabeth Ann Seton, Vowed Religious and Educator, 1821,Elizabeth Ann Seton, <em>Vowed Religious and Educator</em>, 1821,Minor,Elizabeth Ann Seton,Vowed Religious and Educator,1821
January,5,"Sarah, Theodora, and Syncletica of Egypt, Desert Mothers, fourth–fifth century","Sarah, Theodora, and Syncletica of Egypt, <em>Desert Mothers</em>, fourth–fifth century",Minor,"Sarah, Theodora, and Syncletica of Egypt",Desert Mothers,fourth–fifth century
January,6,The Epiphany of Our Lord Jesus Christ,<strong>The Epiphany of Our Lord Jesus Christ</strong>,Major,Epiphany,Feast,
January,8,Harriet Bedell, Deaconess and Missionary, 1969,Harriet Bedell, <em>Deaconess and Missionary</em>, 1969,Minor,Harriet Bedell,Deaconess and Missionary,1969
January,9,Julia Chester Emery, Lay Leader and Missionary, 1922,Julia Chester Emery, <em>Lay Leader and Missionary</em>, 1922,Minor,Julia Chester Emery,Lay Leader and Missionary,1922
January,10,William Laud, Archbishop of Canterbury, 1645,William Laud, <em>Archbishop of Canterbury</em>, 1645,Minor,William Laud,Archbishop of Canterbury,1645
January,12,Aelred of Rievaulx, Monastic and Theologian, 1167,Aelred of Rievaulx, <em>Monastic and Theologian</em>, 1167,Minor,Aelred of Rievaulx,Monastic and Theologian,1167
January,13,Hilary of Poitiers, Bishop, 367,Hilary of Poitiers, <em>Bishop</em>, 367,Minor,Hilary of Poitiers,Bishop,367
January,14,"Richard Meux Benson, Priest, and Charles Gore, Bishop, 1915 and 1932","Richard Meux Benson, <em>Priest</em>, and Charles Gore, <em>Bishop</em>, 1915 and 1932",Minor,"Richard Meux Benson, Charles Gore","Priest, Bishop","1915, 1932"
January,17,Antony of Egypt, Monastic, 356,Antony of Egypt, <em>Monastic</em>, 356,Minor,Antony of Egypt,Monastic,356
January,18,The Confession of Saint Peter the Apostle,<strong>The Confession of Saint Peter the Apostle</strong>,Major,Peter,Apostle,
