"Almighty and most merciful Father,"                            ,"congregation","hangingIndent",
"we have erred and strayed from your ways like lost sheep."     ,"congregation","indent"
"We have followed too much the devices and desires"             ,"congregation","hangingIndent",
"of our own hearts."                                            ,"congregation","indent"
"We have offended against your holy laws."                      ,"congregation","hangingIndent",
"We have left undone those things which we ought to have done," ,"congregation","hangingIndent",
"and we have done those things which we ought not"              ,"congregation","indent"
"to have done;"                                                 ,"congregation","indent"
"and apart from your grace, there is no health in us."          ,"congregation","hangingIndent",
"O Lord, have mercy upon us."                                   ,"congregation","hangingIndent",
"Spare all those who confess their faults."                     ,"congregation","hangingIndent",
"Restore all those who are penitent, according to your promises","congregation","hangingIndent",
"declared to all people in Christ Jesus our Lord."              ,"congregation","indent"
"And grant, O most merciful Father, for his sake,"              ,"congregation","hangingIndent",
"that we may now live a godly, righteous, and sober life,"      ,"congregation","indent"
"to the glory of your holy Name. Amen."                         ,"congregation","indent"
