"Almighty and most merciful Father,", "congregation", "hangingIndent"
"we have erred and strayed from thy ways like lost sheep.", "congregation", "indent"
"We have followed too much the devices and desires of our own hearts.", "congregation", "hangingIndent"
"We have offended against thy holy laws.", "congregation", "hangingIndent"
"We have left undone those things which we ought to have done, and we have done those things which we ought not to have done;", "congregation", "hangingIndent"
"and apart from thy grace, there is no health in us.", "congregation", "indent"
"But thou, O Lord, have mercy upon us, miserable offenders.", "congregation", "hangingIndent"
"Spare thou those, O God, who confess their faults.", "congregation", "hangingIndent"
"Restore thou those who are penitent, according to thy promises declared unto mankind in Christ Jesus our Lord.", "congregation", "hangingIndent"
"And grant, O most merciful Father, for his sake,", "congregation", "hangingIndent"
"that we may hereafter live a godly, righteous, and sober life, to the glory of thy holy Name. Amen.", "congregation", "indent"
