"I believe in God, the Father almighty,"              ,"congregation","hangingIndent"
"creator of heaven and earth"                         ,"congregation","indent"
"I believe in Jesus Christ, his only Son, our Lord."  ,"congregation","hangingIndent"
"He was conceived by the Holy Spirit "                ,"congregation","indent"
"and born of the Virgin Mary. "                       ,"congregation","indent"
"He suffered under Pontius Pilate, "                  ,"congregation","indent"
"was crucified, died, and was buried. "               ,"congregation","indent"
"He descended to the dead. "                          ,"congregation","indent"
"On the third day he rose again."                     ,"congregation","indent"
"He ascended into heaven,"                            ,"congregation","indent"
"and is seated at the right hand of the Father."      ,"congregation","indent"
"He will come again to judge the living and the dead.","congregation","indent"
"I believe in the Holy Spirit,"                       ,"congregation","hangingIndent"
"the holy catholic Church,"                           ,"congregation","indent"
"the communion of saints,"                            ,"congregation","indent"
"the forgiveness of sins,"                            ,"congregation","indent"
"the resurrection of the body,"                       ,"congregation","indent"
"and the life everlasting. Amen."                     ,"congregation","indent"
