"I believe in God, the Father almighty"              ,"congregation","hangingIndent"
"maker of heaven and earth;"                         ,"congregation","indent"
"And in Jesus Christ, his only Son, our Lord;"  ,"congregation","hangingIndent"
"who was conceived by the Holy Ghost,"                ,"congregation","indent"
"born of the Virgin Mary,"                       ,"congregation","indent"
"suffered under Pontius Pilate,"                  ,"congregation","indent"
"was crucified, dead, and buried."               ,"congregation","indent"
"He descended into hell."                          ,"congregation","indent"
"The third day he rose again from the dead."                     ,"congregation","indent"
"He ascended into heaven,"                            ,"congregation","indent"
"and sitteth on the right hand of God the Father almighty."      ,"congregation","indent"
"From thence he shall come to judge the quick and the dead.","congregation","indent"
"I believe in the Holy Ghost,"                       ,"congregation","hangingIndent"
"the holy catholic Church,"                           ,"congregation","indent"
"the communion of saints,"                            ,"congregation","indent"
"the forgiveness of sins,"                            ,"congregation","indent"
"the resurrection of the body,"                       ,"congregation","indent"
"and the life everlasting. Amen."                     ,"congregation","indent"
