"Mi alma glorifica al Señor, *", "congregation", "hangingIndent"
"y mi espíritu se regocija en Dios mi Salvador,", "congregation", "indent"
"porque se ha dignado fijarse en su humilde sierva.", "congregation", "indent"
"Desde ahora me llamarán dichosa todas las generaciones, *", "congregation", "hangingIndent"
"porque el Poderoso ha hecho grandes cosas por mí.", "congregation", "indent"
"¡Santo es su nombre! *", "congregation", "hangingIndent"
"De generación en generación", "congregation", "hangingIndent"
"se extiende su misericordia a los que le temen.", "congregation", "indent"
"Hizo proezas con su brazo; *", "congregation", "hangingIndent"
"desbarató las intrigas de los soberbios.", "congregation", "indent"
"De sus tronos derrocó a los poderosos, *", "congregation", "hangingIndent"
"mientras que ha exaltado a los humildes.", "congregation", "indent"
"A los hambrientos los colmó de bienes, *", "congregation", "hangingIndent"
"y a los ricos los despidió con las manos vacías.", "congregation", "indent"
"Acudió en ayuda de su siervo Israel y,", "congregation", "hangingIndent"
"cumpliendo su promesa a nuestros padres, *", "congregation", "indent"
"mostró su misericordia a Abraham", "congregation", "indent"
"y a su descendencia para siempre.", "congregation", "indent"
