"My soul doth magnify the Lord, *", "congregation", "hangingIndent"
"and my spirit hath rejoiced in God my Savior.", "congregation", "indent"
"For he hath regarded *", "congregation", "hangingIndent"
"the lowliness of his handmaiden.", "congregation", "indent"
"For behold from henceforth *", "congregation", "hangingIndent"
"all generations shall call me blessed.", "congregation", "hangingIndent"
"For he that is mighty hath magnified me, *", "congregation", "hangingIndent"
"and holy is his Name.", "congregation", "hangingIndent"
"And his mercy is on them that fear him *", "congregation", "hangingIndent"
"throughout all generations.", "congregation", "hangingIndent"
"He hath showed strength with his arm; *", "congregation", "hangingIndent"
"he hath scattered the proud in the imagination of their hearts.", "congregation", "hangingIndent"
"He hath put down the mighty from their seat, *", "congregation", "hangingIndent"
"and hath exalted the humble and meek.", "congregation", "hangingIndent"
"He hath filled the hungry with good things, *", "congregation", "hangingIndent"
"and the rich he hath sent empty away.", "congregation", "hangingIndent"
"He remembering his mercy hath holpen his servant Israel, *", "congregation", "hangingIndent"
"as he promised to our forefathers, Abraham and his seed for ever.", "congregation", "hangingIndent"
