"Almighty God, Father of all mercies,"                          ,"congregation","hangingIndent"
"we your unworthy servants give you humble thanks"              ,"congregation","hangingIndent"
"for all your goodness and loving-kindness"                     ,"congregation","hangingIndent"
"to us and to all whom you have made."                          ,"congregation","ident"
"We bless you for our creation, preservation,"                  ,"congregation","hangingIndent"
"and all the blessings of this life;"                           ,"congregation","hangingIndent"
"but above all for your immeasurable love"                      ,"congregation","hangingIndent"
"in the redemption of the world by our Lord Jesus Christ;"      ,"congregation","hangingIndent"
"for the means of grace, and for the hope of glory."            ,"congregation","ident"
"And, we pray, give us such an awareness of your mercies,"      ,"congregation","hangingIndent"
"that with truly thankful hearts we may show forth your praise,","congregation","hangingIndent"
"not only with our lips, but in our lives,"                     ,"congregation","hangingIndent"
"by giving up our selves to your service,"                      ,"congregation","hangingIndent"
"and by walking before you"                                     ,"congregation","hangingIndent"
"in holiness and righteousness all our days;"                   ,"congregation","ident"
"Through Jesus Christ our Lord,"                                ,"congregation","hangingIndent"
"to whom, with you and the Holy Spirit,"                        ,"congregation","ident"
"be honor and glory throughout all ages. Amen."                 ,"congregation","ident"
