"Dios omnipotente, Padre de toda misericordia,"                          ,"congregation","hangingIndent"
"nosotros, indignos siervos tuyos, humildemente te damos gracias"              ,"congregation","indent"
"por todo tu amor y benignidad"                     ,"congregation","indent"
"a nosotros y a todos los seres humanos."                          ,"congregation","indent"
"Nosotros te bendecimos por nuestra creación, preservación"                  ,"congregation","hangingIndent"
"y todas las bendiciones de esta vida;"                           ,"congregation","indent"
"pero sobre todo por tu amor inmensurable"                      ,"congregation","indent"
"en la redención del mundo por nuestro Señor Jesucristo;"      ,"congregation","indent"
"por los medios de gracia, y la esperanza de gloria."            ,"congregation","indent"
"Y te suplicamos nos hagas conscientes de tus bondades"      ,"congregation","hangingIndent"
"de tal manera que, con un corazón verdaderamente agradecido,","congregation","indent"
"proclamemos tus alabanzas,","congregation","indent"
"no sólo con nuestros labios, sino también con nuestras vidas,"                     ,"congregation","indent"
"entregándonos a tu servicio"                      ,"congregation","indent"
"y caminando en tu presencia,"                                     ,"congregation","indent"
"en santidad y justicia, todos los días de nuestra vida;"                   ,"congregation","indent"
"Por Jesucristo nuestro Señor,"                                ,"congregation","hangingIndent"
"a quien, contigo y el Espíritu Santo,"                        ,"congregation","indent"
"sea todo honor y gloria, por los siglos de los siglos. Amén."                 ,"congregation","indent"
