"Almighty God, Father of all mercies,"                          ,"congregation","hangingIndent"
"we, thine unworthy servants,"              ,"congregation","indent"
"do give thee most humble and hearty thanks"              ,"congregation","indent"
"for all thy goodness and loving-kindness to us and to all men."                     ,"congregation","indent"
"We bless thee for our creation, preservation,"                  ,"congregation","hangingIndent"
"and all the blessings of this life;"                           ,"congregation","indent"
"but above all, for thine inestimable love"                      ,"congregation","indent"
"in the redemption of the world by our Lord Jesus Christ;"      ,"congregation","indent"
"for the means of grace, and for the hope of glory."            ,"congregation","indent"
"And, we beseech thee,"      ,"congregation","hangingIndent"
"give us that due sense of all thy mercies","congregation","indent"
"that our hearts may be unfeignedly thankful:","congregation","indent"
"and that we show forth thy praise,","congregation","indent"
"not only with our lips, but in our lives,"                     ,"congregation","indent"
"by giving up our selves to thy service,"                      ,"congregation","indent"
"and by walking before thee"                                     ,"congregation","indent"
"in holiness and righteousness all our days;"                   ,"congregation","indent"
"through Jesus Christ our Lord,"                                ,"congregation","hangingIndent"
"to whom, with thee and the Holy Ghost,"                        ,"congregation","indent"
"be all honor and glory, world without end. Amen."                 ,"congregation","indent"
