"The Great Litany"                                                                                                                                                                                                                                         ,"heading"     ,true           ,
"O God the Father, Creator of heaven and earth,"                                                                                                                                                                                                           ,"leader"      ,"hangingIndent",true
"Have mercy upon us."                                                                                                                                                                                                                                      ,"congregation","indent"       ,
"O God the Son, Redeemer of the world,"                                                                                                                                                                                                                    ,"leader"      ,"hangingIndent",true
"Have mercy upon us."                                                                                                                                                                                                                                      ,"congregation","indent"       ,
"O God the Holy Spirit, Sanctifier of the faithful,"                                                                                                                                                                                                       ,"leader"      ,"hangingIndent",true
"Have mercy upon us."                                                                                                                                                                                                                                      ,"congregation","indent"       ,
"O holy, blessed, and glorious Trinity, one God,"                                                                                                                                                                                                          ,"leader"      ,"hangingIndent",true
"Have mercy upon us."                                                                                                                                                                                                                                      ,"congregation","indent"       ,
"Remember not, Lord Jesus, our offenses, nor the offenses of our forebears; neither reward us according to our sins. Spare us, good Lord, spare your people, whom you have redeemed with your most precious blood, and by your mercy preserve us for ever.","leader"      ,"hangingIndent",true
"Spare us, good Lord."                                                                                                                                                                                                                                     ,"congregation","indent"       ,
"From all evil and wickedness; from sin, from the works and assaults of the devil; from your wrath and everlasting condemnation,"                                                                                                                          ,"leader"      ,"hangingIndent",true
"Good Lord, deliver us."                                                                                                                                                                                                                                   ,"congregation","indent"       ,
"From all blindness of heart; from pride, vanity, and hypocrisy; from envy, hatred, and malice; and from all lack of charity,"                                                                                                                             ,"leader"      ,"hangingIndent",true
"Good Lord, deliver us."                                                                                                                                                                                                                                   ,"congregation","indent"       ,
"From all disordered and sinful affections; and from all the deceits of the world, the flesh, and the devil,"                                                                                                                                              ,"leader"      ,"hangingIndent",true
"Good Lord, deliver us."                                                                                                                                                                                                                                   ,"congregation","indent"       ,
"From all false doctrine, heresy, and schism; from hardness of heart, and contempt of your Word and commandments,"                                                                                                                                         ,"leader"      ,"hangingIndent",true
"Good Lord, deliver us."                                                                                                                                                                                                                                   ,"congregation","indent"       ,
"From lightning and tempest; from earthquake, fire, and flood; from plague, pestilence, and famine,"                                                                                                                                                       ,"leader"      ,"hangingIndent",true
"Good Lord, deliver us."                                                                                                                                                                                                                                   ,"congregation","indent"       ,
"From all oppression, conspiracy, and rebellion; from violence, battle, and murder; and from dying suddenly and unprepared,"                                                                                                                               ,"leader"      ,"hangingIndent",true
"Good Lord, deliver us."                                                                                                                                                                                                                                   ,"congregation","indent"       ,
"By the mystery of your holy incarnation; by your holy nativity and submission to the Law; by your baptism, fasting, and temptation,"                                                                                                                      ,"leader"      ,"hangingIndent",true
"Good Lord, deliver us."                                                                                                                                                                                                                                   ,"congregation","indent"       ,
"By your agony and bloody sweat; by your Cross and passion; by your precious death and burial,"                                                                                                                                                            ,"leader"      ,"hangingIndent",true
"Good Lord, deliver us."                                                                                                                                                                                                                                   ,"congregation","indent"       ,
"By your glorious resurrection and ascension; by the sending of the Holy Spirit; by your heavenly intercession; and by your coming again in power and great glory,"                                                                                        ,"leader"      ,"hangingIndent",true
"Good Lord, deliver us."                                                                                                                                                                                                                                   ,"congregation","indent"       ,
"In all times of tribulation; in all times of prosperity; in the hour of death, and in the day of judgment,"                                                                                                                                               ,"leader"      ,"hangingIndent",true
"Good Lord, deliver us."                                                                                                                                                                                                                                   ,"congregation","indent"       ,
"We sinners beseech you to hear us, O Lord God: That it may please you to rule and govern your holy Church universal in the right way,"                                                                                                                    ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"To illumine all Bishops, Priests, and Deacons, with true knowledge and understanding of your Word; and that, both by their preaching and living, they may show it accordingly,"                                                                           ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"To send forth laborers into your harvest; to prosper their work by your Holy Spirit; to make your saving health known unto all nations; and to hasten the coming of your kingdom,"                                                                        ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"To give all your people increase of grace to hear your Word with humility, to receive it with pure affection, and to bring forth the fruit of the Spirit,"                                                                                                ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"To bring into the way of truth all who have erred and are deceived,"                                                                                                                                                                                      ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"To give us a heart to love and fear you, and diligently to keep your commandments,"                                                                                                                                                                       ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"To bless and keep all your people,"                                                                                                                                                                                                                       ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"That it may please you to rule the hearts of {{ leaders }} and all others in authority, that they may do justice, and show mercy, and walk humbly before you,"                                                                                            ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"To bless and guide all judges, giving them grace to execute justice, and to maintain truth,"                                                                                                                                                              ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"To bless and keep our armed forces by sea, and land, and air, and to shield them in all dangers and adversities,"                                                                                                                                         ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"To bless and protect all who serve their communities by their labor and learning,"                                                                                                                                                                        ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"To give and preserve for us and for others the bountiful fruits of the earth, so that at the harvest we all may enjoy them,"                                                                                                                              ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"To make wars to cease in all the world, and to give to all nations unity, peace, and concord,"                                                                                                                                                            ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"That it may please you to show mercy on all prisoners and captives; refugees, the homeless, and the hungry; and all those who are desolate and oppressed,"                                                                                                ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"To preserve all who are in danger by reason of their work or travel,"                                                                                                                                                                                     ,"leader"      ,"hangingIndent",true
"We beseech you to hear us, good Lord."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"To strengthen the bonds of those in Holy Matrimony; to uphold the widowed and abandoned; and to comfort all whose homes are torn by strife,"                                                                                                              ,"leader"      ,"hangingIndent",true
