"La Gran Letanía"                                                                                                                                                                                                                                         ,"heading"     ,true           ,
"Para que sea dicho o cantado, de rodillas de pie o en procesión."																																																  ,"rubric"     ,true           ,
"Oh Dios Padre, Creador del cielo y de la tierra,"                                                                                                                                                                                                           ,"leader"      ,"hangingIndent",true
"Ten piedad de nosotros."                                                                                                                                                                                                                                      ,"congregation","indent"       ,
"Oh Dios Hijo, Redentor del mundo,"                                                                                                                                                                                                                    ,"leader"      ,"hangingIndent",true
"Ten piedad de nosotros."                                                                                                                                                                                                                                      ,"congregation","indent"       ,
"Oh Dios Espíritu Santo, Santificador de los fieles,"                                                                                                                                                                                                       ,"leader"      ,"hangingIndent",true
"Ten piedad de nosotros."                                                                                                                                                                                                                                      ,"congregation","indent"       ,
"Oh santa, bendita y gloriosa Trinidad, un solo Dios,"                                                                                                                                                                                                          ,"leader"      ,"hangingIndent",true
"Ten piedad de nosotros."                                                                                                                                                                                                                                      ,"congregation","indent"       ,
"No recuerdes, Señor Jesús, nuestras ofensas, ni las ofensas de nuestros antepasados; ni nos recompense según nuestros pecados. Perdónanos, buen Señor, perdona a tu pueblo, con quien redimiste con tu sangre preciosísima, y por tu misericordia, guárdanos para siempre.","leader"      ,"hangingIndent",true
"Perdónanos, buen Dios."                                                                                                                                                                                                                                     ,"congregation","indent"       ,
"De todo mal y maldad; del pecado, de las obras y asaltos del diablo; de tu ira y condenación eterna,"                                                                                                                          ,"leader"      ,"hangingIndent",true
"Buen Dios, líbranos."                                                                                                                                                                                                                                   ,"congregation","indent"       ,
"De toda ceguera del corazón; del orgullo, la vanidad y la hipocresía; de la envidia, el odio y la malicia; y de toda falta de caridad,"                                                                                                                             ,"leader"      ,"hangingIndent",true
"Buen Dios, líbranos."                                                                                                                                                                                                                                   ,"congregation","indent"       ,
"De todos los afectos desordenados y pecaminosos; y de todos los engaños del mundo, la carne y el diablo,"                                                                                                                                              ,"leader"      ,"hangingIndent",true
"Buen Dios, líbranos."                                                                                                                                                                                                                                   ,"congregation","indent"       ,
"De toda falsa doctrina, herejía y cisma; de dureza de corazón y desprecio de tu Palabra y de tus mandamientos,"                                                                                                                                         ,"leader"      ,"hangingIndent",true
"Buen Dios, líbranos."                                                                                                                                                                                                                                   ,"congregation","indent"       ,
"Del relámpago y tempestad; de terremotos, incendios e inundaciones; de la plaga, la pestilencia y el hambre,"                                                                                                                                       ,"leader"      ,"hangingIndent",true
"Buen Dios, líbranos."                                                                                                                                                                                                                                   ,"congregation","indent"       ,
"De toda opresión, conspiración y rebelión; de la violencia, la batalla y el asesinato; y de morir repentinamente y sin preparación,"                                                                                                                               ,"leader"      ,"hangingIndent",true
"Buen Dios, líbranos."                                                                                                                                                                                                                                   ,"congregation","indent"       ,
"Por el misterio de tu santa encarnación; por tu santa natividad y sometimiento a la ley; por tu bautismo, ayuno y tentación,"                                                                                                                      ,"leader"      ,"hangingIndent",true
"Buen Dios, líbranos."                                                                                                                                                                                                                                   ,"congregation","indent"       ,
"Por tu agonía y sudor sangriento; por tu Cruz y pasión; por tu preciosa muerte y sepultura,"                                                                                                                                                            ,"leader"      ,"hangingIndent",true
"Buen Dios, líbranos."                                                                                                                                                                                                                                   ,"congregation","indent"       ,
"Por tu gloriosa resurrección y ascensión; por el envío del Espíritu Santo; por tu intercesión celestial; y por tu regreso con poder y gran gloria,"                                                                                        ,"leader"      ,"hangingIndent",true
"Buen Dios, líbranos."                                                                                                                                                                                                                                   ,"congregation","indent"       ,
"En todos los tiempos de tribulación; en todos los tiempos de prosperidad; en la hora de la muerte y en el día del juicio,"                                                                                                                               ,"leader"      ,"hangingIndent",true
"Buen Dios, líbranos."                                                                                                                                                                                                                                   ,"congregation","indent"       ,
"Nosotros los pecadores te suplicamos que nos escuches, oh Señor Dios: para que te agrade regir y gobernar a tu santa Iglesia universal de la manera correcta,"                                                                                                    ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Que ilumines a todos los obispos, sacerdotes y diáconos, con verdadero conocimiento y comprensión de tu Palabra; y que, tanto por su predicación como por su vida, puedan demostrarlo en consecuencia,"                                                                           ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Que envíes obreros a tu mies; que prosperen en sus obras por tu Santo Espíritu; para dar a conocer tu salud salvadora a todas las naciones; y apresurar la venida de tu reino,"                                                                        ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Que des a todo tu pueblo el crecimiento en gracia para escuchar tu Palabra con humildad, para recibirla con afecto puro y para producir el fruto del Espíritu,"                                                                                                ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Que lleves por el camino de la verdad a todos los que yerran y son engañados,"                                                                                                                                                                      ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Que nos des un corazón para amarte y temerte, y para guardar tus mandamientos diligentemente,"                                                                                                                                                                       ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Que bendigas y guardes a todo tu pueblo,"                                                                                                                                                                                                                       ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Para que te agrade gobernar los corazones de tu siervo N, el Presidente / Soberano / Primer Ministro y todos los demás en autoridad, para que hagan justicia, muestren misericordia y caminen humildemente ante ti,"                                                                                            ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Que bendigas y guíes a todos los jueces, dándoles gracia para ejecutar la justicia y mantener la verdad,"                                                                                                                                              ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Que bendigas y mantengas nuestras fuerzas armadas por mar, tierra y aire y, que las protejas de todos los peligros y adversidades,"                                                                                                                         ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Que bendigas y protejas a todos los que sirven a sus comunidades con su trabajo y aprendizaje,"                                                                                                                                                        ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Que des y preserves para nosotros y para los demás los abundantes frutos de la tierra para que los disfrutemos en el tiempo de la cosecha,"                                                                                                                              ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Que hagas cesar las guerras en todo el mundo, y des a todas las naciones unidad, paz y concordia,"                                                                                                                                                            ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Para que te agrade tener misericordia de todos los prisioneros y cautivos; refugiados, personas sin hogar y hambrientos; y todos los desolados y oprimidos,"                                                                                                ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Que preserves a todos los que están en peligro por razón de su trabajo o viaje,"                                                                                                                                                                     ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Para que fortalezcas los lazos del Santo Matrimonio; para que se sostengan a los viudos y abandonados; y para que consueles a todos aquellos cuyos hogares están destrozados por las riñas,"                                                              ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Protege a los no nacidos, a sus padres, y preserva a todas las mujeres durante el parto;"                                                                                                                                                                        ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Cuida de aquellos que han perdido a sus hijos o se enfrentan a la infertilidad, y que proveas por los niños pequeños y huérfanos,"                                                                                                                             ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Para que visites a los solitarios y afligidos; para que fortalezcas a todos los que sufren de mente, cuerpo o espíritu; y consuela con tu presencia a los frágiles y débiles,"                                                                                     ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Que apoyes, ayudes y liberes a todos los que están en peligro, necesidad y tribulación,"                                                                                                                                                                         ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Tener piedad de todos,"                                                                                                                                                                                                                           ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Para que agrade darnos un verdadero arrepentimiento; para perdonarnos todo nuestros pecados, negligencia e ignorancia; y para investirnos con la gracia de tu Espíritu Santo para enmendar nuestras vidas de acuerdo con tu santa Palabra,"                                              ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Perdonar nuestros enemigos, perseguidores y calumniadores, y para convertir sus corazones,"                                                                                                                                                                           ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Para que fortalezcas a los que están de pie, alientes a los miedosos, levantes a los que caen; y para que finalmente, subyugues a Satanás bajo nuestros pies,"                                                                                                                ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Que concedas a todos los fieles difuntos vida eterna y paz,"                                                                                                                                                                                            ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Que concedas todo esto, en comunión con [_____________ y] todos los santos, y podamos alcanzar tu reino celestial,"                                                                                                                                              ,"leader"      ,"hangingIndent",true
"Te suplicamos que nos escuches, buen Dios."                                                                                                                                                                                                                    ,"congregation","indent"       ,
"Hijo de Dios, te suplicamos que nos escuches."                                                                                                                                                                                                                   ,"leader"      ,"hangingIndent",true
"Hijo de Dios, te suplicamos que nos escuches."                                                                                                                                                                                                                   ,"congregation","indent"       ,
