"Jubilate"                                                     ,"heading"
"Estén Alegres"                                                ,"subheading"
"Oficiante y Pueblo juntos, todos de pie"                      ,"rubric"
"Aclamen alegres al Señor, *"                                  ,"congregation","hangingIndent"
"habitantes de toda la tierra;"                                ,"congregation","indent"       ,
"adoren al Señor con regocijo. *"                              ,"congregation","hangingIndent"
"Preséntense ante él con cánticos de júbilo."                  ,"congregation","indent"       ,
"Reconozcan que el Señor es Dios; *"                           ,"congregation","indent"       ,
"Él nos hizo, y somos suyos."                                  ,"congregation","indent"       ,
"Somos su pueblo, ovejas de su prado."                         ,"congregation","hangingIndent"
"Entren por sus puertas con acción de gracias; *"              ,"congregation","indent"       ,
"vengan a sus atrios con himnos de alabanza;"                  ,"congregation","indent"       ,
"denle gracias, alaben su nombre."                             ,"congregation","hangingIndent"
"Porque el Señor es bueno y su gran amor es eterno; *"         ,"congregation","indent"       ,
"su fidelidad permanece para siempre."                         ,"congregation","indent"       ,
"Salmo 100 (NVI)"                                             ,"citation"
