"Bendito eres tú, Señor Dios de nuestros padres; *"          ,"congregation","hangingIndent"
"digno de alabanza, eres bendito."           ,"congregation","indent"
"Bendito el fulgor de tu santo Nombre, *","congregation","hangingIndent"
"alabado y exaltado sobre todo para siempre." ,"congregation","indent"
"Bendito eres en el templo de tu santa gloria, *"    ,"congregation","hangingIndent"
"en el trono de tu reino eres bendito."      ,"congregation","indent"
"Bendito eres, sentado sobre querubines, *"      ,"congregation","hangingIndent"
"alabado y exaltado sobre todo para siempre." ,"congregation","indent"
"Bendito tú, que sondeas los abismos; *"             ,"congregation","hangingIndent"
"en la bóveda celeste eres bendito."        ,"congregation","indent"
"Bendito tú: Padre, Hijo y Espíritu Santo, *"     ,"congregation","hangingIndent"
"alabado y exaltado sobre todo para siempre." ,"congregation","indent"
