"Blessed be the Lord, the God of Israel; *"                     ,"congregation","hangingIdent"
"he has come to his people and set them free."                  ,"congregation","indent"
"He has raised up for us a mighty savior, *"                    ,"congregation","hangingIdent"
"born of the house of his servant David."                       ,"congregation","indent"
"Through his holy prophets he promised of old"                  ,"congregation","hanging"
"that he would save us from our enemies, *"                     ,"congregation","hangingIdent"
"from the hands of all who hate us."                            ,"congregation","indent"
"He promised to show mercy to our fathers *"                    ,"congregation","hangingIdent"
"and to remember his holy covenant."                            ,"congregation","indent"
"This was the oath he swore to our father Abraham, *"           ,"congregation","hangingIdent"
"to set us free from the hands of our enemies,"                 ,"congregation","indent"
"Free to worship him without fear, *"                           ,"congregation","hangingIdent"
"holy and righteous in his sight"                               ,"congregation","indent"      ,
"all the days of our life."                                     ,"congregation","indent"
"You, my child, shall be called the prophet of the Most High, *","congregation","hangingIdent"
"for you will go before the Lord to prepare his way,"           ,"congregation","indent"
"To give his people knowledge of salvation *"                   ,"congregation","hangingIdent"
"by the forgiveness of their sins."                             ,"congregation","indent"
"In the tender compassion of our God *"                         ,"congregation","hangingIdent"
"the dawn from on high shall break upon us,"                    ,"congregation","indent"
"To shine on those who dwell in darkness"                       ,"congregation","hangingIdent"
"and in the shadow of death, *"                                 ,"congregation","indent"
"and to guide our feet into the way of peace."                  ,"congregation","hangingIdent"
