"Gloria a Dios en el cielo,"                    ,"congregation","hangingIndent"
"y paz en la tierra a quienes ama el Señor."   ,"congregation","indent"
"Por tu inmensa gloria"                        ,"congregation","indent"
"te alabamos,"                                 ,"congregation","hangingIndent"
"te bendecimos,"                               ,"congregation","hangingIndent"
"te adoramos,"                                 ,"congregation","hangingIndent"
"te glorificamos,"                             ,"congregation","hangingIndent"
"te damos gracias;"                            ,"congregation","indent"
"Señor Dios, Rey celestial,"                   ,"congregation","indent"
"Dios Padre Todopoderoso."                    ,"congregation","hangingIndent"
"Señor, Hijo único Jesucristo,"                ,"congregation","indent"
"Señor Dios, Cordero de Dios,"                ,"congregation","indent"
"Hijo del Padre:"                              ,"congregation","indent"
"Tú que quitas el pecado del mundo,"           ,"congregation","hangingIndent"
"ten piedad de nosotros;"                      ,"congregation","indent"
"Tú que quitas el pecado del mundo,"           ,"congregation","hangingIndent"
"atiende a nuestra súplica;"                   ,"congregation","indent"
"Tú que estás sentado a la derecha del Padre," ,"congregation","hangingIndent"
"ten piedad de nosotros."                      ,"congregation","indent"
"Porque solo tú eres Santo, sólo tú Señor,"   ,"congregation","indent"
"sólo tú Altísimo, Jesucristo, con el Espíritu Santo," ,"congregation","hangingIndent"
"en la gloria de Dios Padre."                  ,"congregation","indent"
"Amén."                                        ,"congregation","indent"
