"O be joyful in the Lord, all you lands; *"            ,"congregation","hangingIndent"
"serve the Lord with gladness,"                        ,"congregation","hangingIndent"
"and come before his presence with a song."            ,"congregation","indent"
"Be assured that the Lord, he is God; *"               ,"congregation","hangingIndent"
"it is he that has made us, and not we ourselves; "    ,"congregation","hangingIndent"
"we are his people, and the sheep of his pasture."     ,"congregation","indent"
"O go your way into his gates with thanksgiving, "     ,"congregation","hangingIndent"
"and into his courts with praise; *"                   ,"congregation","hangingIndent"
"be thankful unto him, and speak good of his Name. "   ,"congregation","indent"
"For the Lord is gracious, his mercy is everlasting, *","congregation","hangingIndent"
"and his truth endures from generation to generation." ,"congregation","indent"
