"PASCHA NOSTRUM"                                                 ,"heading"
"Christ Our Passover"                                            ,"subheading"
"Officiant and People, all standing"                             ,"rubric"
"Alleluia. Christ our Passover has been sacrificed for us; *"    ,"congregation","hangingIndent"
"therefore let us keep the feast,"                               ,"congregation","indent"
"Not with the old leaven, the leaven of malice and evil, *"      ,"congregation","hangingIndent"
"but with the unleavened bread of sincerity and truth. Alleluia.","congregation","indent"
"Christ being raised from the dead will never die again; *"      ,"congregation","hangingIndent"
"death no longer has dominion over him."                         ,"congregation","indent"
"The death that he died, he died to sin, once for all; *"        ,"congregation","hangingIndent",
"but the life he lives, he lives to God."                        ,"congregation","indent"
"So also consider yourselves dead to sin, *"                     ,"congregation","hangingIndent"
"and alive to God in Jesus Christ our Lord. Alleluia."           ,"congregation","indent"
"Christ has been raised from the dead, *"                        ,"congregation","hangingIndent"
"the firstfruits of those who have fallen asleep."               ,"congregation","indent"
"For since by a man came death, *"                               ,"congregation","hangingIndent"
"by a man has come also the resurrection of the dead."           ,"congregation","indent"
"For as in Adam all die, *"                                      ,"congregation","hangingIndent"
"so also in Christ shall all be made alive. Alleluia."           ,"congregation","indent"
"1 Corinthians 5:7-8"                                            ,"citation"
"Romans 6:9-11"                                                  ,"citation"
"1 Corinthians 15:20-22"                                         ,"citation"
