"PASCHA NOSTRUM"                                                  ,"heading"
"我們逾越節的羔羊"                                                ,"subheading"
"Officiant and People, all standing"                              ,"rubric"
"哈利路亞。我們逾越節的羔羊基督已經被獻為祭牲了。*"            ,"congregation","hangingIndent"
"所以，我們來守這節，"                                            ,"congregation","indent"
"不可用舊酵，就是不可用惡毒、邪惡的酵，*"                        ,"congregation","hangingIndent"
"只用純潔真實的無酵餅。哈利路亞。"                                ,"congregation","indent"
"基督既從死人中復活，就不再死，*"                                  ,"congregation","hangingIndent"
"死也不再作祂的主了。"                                            ,"congregation","indent"
"祂死是向罪死了，只有一次；*"                                     ,"congregation","hangingIndent",
"祂活是向上帝活着。"                                              ,"congregation","indent"
"這樣，你們向罪也當看自己是死的；*"                               ,"congregation","hangingIndent"
"向上帝在基督耶穌裏，卻當看自己是活的。哈利路亞。"               ,"congregation","indent"
"基督已經從死人中復活，*"                                         ,"congregation","hangingIndent"
"成為睡了之人初熟的果子。"                                        ,"congregation","indent"
"既然死是因一人而來，*"                                           ,"congregation","hangingIndent"
"死人復活也因一人而來。"                                          ,"congregation","indent"
"在亞當裏眾人都死了；*"                                           ,"congregation","hangingIndent"
"同樣，在基督裏眾人也都要復活。哈利路亞。"                        ,"congregation","indent"
"哥林多前書 5:7-8"                                                ,"citation"
"羅馬書 6:9-11"                                                   ,"citation"
"哥林多前書 15:20-22"                                             ,"citation"
