"PASCHA NOSTRUM"                                                          ,"heading"
"Cristo nuestra Pascua"                                                   ,"subheading"
"Oficiante y Pueblo juntos, todos de pie"                                 ,"rubric"
"Desháganse de la vieja levadura para que sean masa nueva,"               ,"congregation","hangingIndent"
"panes sin levadura, como lo son en realidad. *"                          ,"congregation","indent"
"Porque Cristo, nuestro Cordero pascual, ya ha sido sacrificado."         ,"congregation","indent"
"Así que celebremos nuestra Pascua no con la vieja levadura,"             ,"congregation","hangingIndent"
"que es la malicia y la perversidad, *"                                   ,"congregation","indent"
"sino con pan sin levadura, que es la sinceridad y la verdad."            ,"congregation","indent"
"Pues sabemos que Cristo, por haber sido levantado de entre los muertos, ya no puede","congregation","hangingIndent"
"volver a morir; *"                                                       ,"congregation","indent"
"la muerte ya no tiene dominio sobre él."                                 ,"congregation","indent"
"En cuanto a su muerte, murió al pecado una vez y para siempre; *"        ,"congregation","hangingIndent",
"en cuanto a su vida, vive para Dios."                                    ,"congregation","indent"
"De la misma manera, también ustedes considérense muertos al pecado, *"   ,"congregation","hangingIndent"
"pero vivos para Dios en Cristo Jesús."                                   ,"congregation","indent"
"Lo cierto es que Cristo ha sido levantado de entre los muertos, *"       ,"congregation","hangingIndent"
"como primicias de los que murieron."                                     ,"congregation","indent"
"De hecho, ya que la muerte vino por medio de un hombre, *"              ,"congregation","hangingIndent"
"también por medio de un hombre viene la resurrección de los muertos."    ,"congregation","indent"
"Pues así como en Adán todos mueren, *"                                   ,"congregation","hangingIndent"
"también en Cristo todos volverán a vivir."                               ,"congregation","indent"
"1 Corintios 5: 7-8; Romanos 6: 9-11; 1 Corintios 15:20-22 (NVI)"       ,"citation"
