"INVOCATION"                                                                   ,"congregation","indent"
"Glorify the Lord, all you works of the Lord, *"                               ,"congregation","hangingIndent",
"praise him and highly exalt him for ever."                                    ,"congregation","indent"
"In the firmament of his power, glorify the Lord, *"                           ,"congregation","hangingIndent",
"praise him and highly exalt him for ever."                                    ,"congregation","hangingIndent",true
"I. THE COSMIC ORDER"                                                          ,"subheading"  ,true           ,
"Glorify the Lord, you angels and all powers of the Lord, *"                   ,"congregation","hangingIndent",
"O heavens and all waters above the heavens."                                  ,"congregation","indent"
"Sun and moon and stars of the sky, glorify the Lord, *"                       ,"congregation","hangingIndent",
"praise him and highly exalt him for ever."                                    ,"congregation","indent"
"Glorify the Lord, every shower of rain and fall of dew, *"                    ,"congregation","hangingIndent",
"all winds and fire and heat."                                                 ,"congregation","indent"
"Winter and summer, glorify the Lord, *"                                       ,"congregation","hangingIndent",
"praise him and highly exalt him for ever."                                    ,"congregation","indent"
"Glorify the Lord, O chill and cold, *"                                        ,"congregation","hangingIndent",
"drops of dew and flakes of snow."                                             ,"congregation","indent"
"Frost and cold, ice and sleet, glorify the Lord, *"                           ,"congregation","hangingIndent",
"praise him and highly exalt him for ever."                                    ,"congregation","indent"
"Glorify the Lord, O nights and days, *"                                       ,"congregation","hangingIndent",
"O shining light and enfolding dark."                                          ,"congregation","indent"
"Storm clouds and thunderbolts, glorify the Lord, *"                           ,"congregation","hangingIndent",
"praise him and highly exalt him for ever."                                    ,"congregation","hangingIndent",true
"II. THE EARTH AND ITS CREATURES"                                              ,"subheading"  ,true           ,
"Let the earth glorify the Lord, *"                                            ,"congregation","hangingIndent",
"praise him and highly exalt him for ever."                                    ,"congregation","indent"
"Glorify the Lord, O mountains and hills, and all that grows upon the earth, *","congregation","hangingIndent",
"praise him and highly exalt him for ever."                                    ,"congregation","indent"
"Glorify the Lord, O springs of water, seas, and streams, *"                   ,"congregation","hangingIndent",
"O whales and all that move in the waters."                                    ,"congregation","indent"
"All birds of the air, glorify the Lord, *"                                    ,"congregation","hangingIndent",
"praise him and highly exalt him for ever."                                    ,"congregation","indent"
"Glorify the Lord, O beasts of the wild, *"                                    ,"congregation","hangingIndent",
"and all you flocks and herds."                                                ,"congregation","indent"
"O men and women everywhere, glorify the Lord, *"                              ,"congregation","hangingIndent",
"praise him and highly exalt him for ever."                                    ,"congregation","hangingIndent",true
"III. THE PEOPLE OF GOD"                                                       ,"subheading"  ,true           ,
"Let the people of God glorify the Lord, *"                                    ,"congregation","hangingIndent",
"praise him and highly exalt him for ever."                                    ,"congregation","indent"
"Glorify the Lord, O priests and servants of the Lord, *"                      ,"congregation","hangingIndent",
"praise him and highly exalt him for ever."                                    ,"congregation","indent"
"Glorify the Lord, O spirits and souls of the righteous, *"                    ,"congregation","hangingIndent",
"praise him and highly exalt him for ever."                                    ,"congregation","indent"
"You that are holy and humble of heart, glorify the Lord, *"                   ,"congregation","hangingIndent",
"praise him and highly exalt him for ever."                                    ,"congregation","hangingIndent",true
"DOXOLOGY"                                                                     ,"subheading"  ,true           ,
"Let us glorify the Lord: the Father, the Son, and the Holy Spirit; *"         ,"congregation","hangingIndent",
"praise him and highly exalt him for ever."                                    ,"congregation","indent"
"In the firmament of his power, glorify the Lord, *"                           ,"congregation","hangingIndent",
"praise him and highly exalt him for ever."                                    ,"congregation","hangingIndent",true
