"INVOCACIÓN"                                                                   ,"subheading", true
"Bendigan al Señor, obras todas del Señor, *"                               ,"congregation","hangingIndent",
"alábenle y exáltenle sobre todo para siempre."                                    ,"congregation","indent"
"En la bóveda celeste, bendigan al Señor, *"                               ,"congregation","hangingIndent",
"alábenle y exáltenle sobre todo para siempre"                                    ,"congregation","indent"
"I. AL ORDEN CÓSMICO"                                                                   ,"subheading", true
"Bendigan al Señor, ángeles y potestades del Señor, *"                               ,"congregation","hangingIndent",
"cielos y aguas que están sobre los cielos."                                    ,"congregation","indent"
"Sol y luna, y estrellas del cielo, bendigan al Señor, *"                               ,"congregation","hangingIndent",
"alábenle y exáltenle sobre todo para siempre."                                    ,"congregation","indent"
"Bendigan al Señor, lluvias todas y rocío, *"                               ,"congregation","hangingIndent",
"vientos todos, fuego y calor."                                    ,"congregation","indent"
"Inviernos y veranos, bendigan al Señor, *"                               ,"congregation","hangingIndent",
"alábenle y exáltenle sobre todo para siempre."                                    ,"congregation","indent"
"Bendigan al Señor, fríos y heladas, *"                               ,"congregation","hangingIndent",
"gotas de rocío y copos de nieve."                                    ,"congregation","indent"
"Escarchas y fríos, hielos y celliscas, bendigan al Señor, *"                               ,"congregation","hangingIndent",
"alábenle y exáltenle sobre todo para siempre."                                    ,"congregation","indent"
"Bendigan al Señor, noches y días, *"                               ,"congregation","hangingIndent",
"luz radiante y oscuridad acogedora."                                    ,"congregation","indent"
"Rayos y nubes, bendigan al Señor, *"                               ,"congregation","hangingIndent",
"alábenle y exáltenle sobre todo para siempre."                                    ,"congregation","indent"
"II. LA TIERRA Y SUS CREATURAS"                                                                   ,"subheading", true
"Glorifique la tierra al Señor, *"                               ,"congregation","hangingIndent",
"alábenlo y exáltenlo eternamente."                                    ,"congregation","indent"
"Bendigan al Señor, oh montes y collados,"                               ,"congregation","hangingIndent",
"y todo lo que crece sobre la tierra, *"                               ,"congregation","indent"
"alábenle y exáltenle sobre todo para siempre."                                    ,"congregation","indent"
"Montes y colinas y cuanto germina en la tierra, bendigan al Señor, *"                               ,"congregation","hangingIndent",
"alábenle y exáltenle sobre todo para siempre."                                    ,"congregation","indent"
"Bendigan al Señor, manantiales y fuentes, mares y ríos, *"                               ,"congregation","hangingIndent",
"cetáceos y cuanto se mueve en las aguas."                                    ,"congregation","indent"
"Aves del cielo, bendigan al Señor, *"                               ,"congregation","hangingIndent",
"alábenle y exáltenle sobre todo para siempre."                                    ,"congregation","indent"
"Bendigan al Señor, bestias silvestres, *"                               ,"congregation","hangingIndent",
"y todos los rebaños y ganados."                                    ,"congregation","indent"
"Hombres y mujeres de todos los lugares, bendigan al Señor, *"                               ,"congregation","hangingIndent",
"alábenle y exáltenle sobre todo para siempre."                                    ,"congregation","indent"
"III. EL PUEBLO DE DIOS"                                                                   ,"subheading", true
"Que Bendiga al Señor el pueblo de Dios, *"                               ,"congregation","hangingIndent",
"alábalo y exáltalo sobre todo para siempre."                                    ,"congregation","indent"
"Sacerdotes y siervos del Señor, bendigan al Señor, *"                               ,"congregation","hangingIndent",
"alábenle y exáltenle sobre todo para siempre."                                    ,"congregation","indent"
"Bendigan al Señor, espíritus y almas de los justos, *"                               ,"congregation","hangingIndent",
"alábenle y exáltenle sobre todo para siempre."                                    ,"congregation","indent"
"Santos y humildes de corazón, bendigan al Señor, *"                               ,"congregation","hangingIndent",
"alábenle y exáltenle sobre todo para siempre."                                    ,"congregation","indent"
"DOXOLOGÍA"                                                                   ,"subheading", true
"Glorifiquemos Bendigamos al Señor: Padre, Hijo y Espíritu Santo, *"                               ,"congregation","hangingIndent",
"alabémoslo y exaltémoslo sobre todo para siempre."                                    ,"congregation","indent"
"En la bóveda celeste, bendito sea el Señor, *"                               ,"congregation","hangingIndent",
"alabado y exaltado sobre todo para siempre."                                    ,"congregation","indent"
