"Arise, shine, for your light has come, *", "congregation",
"and the glory of the LORD has dawned upon you.", "congregation", true,
"For behold, darkness covers the land; *", "congregation",
"deep gloom enshrouds the peoples.", "congregation", true,
"But over you the LORD will rise, *", "congregation",
"and his glory will appear upon you.", "congregation", true,
"Nations will stream to your light, *", "congregation",
"and kings to the brightness of your dawning.", "congregation", true,
"Your gates will always be open; *", "congregation",
"by day or night they will never be shut.", "congregation", true,
"They will call you, The City of the LORD, *", "congregation",
"the Zion of the Holy One of Israel.", "congregation", true,
"Violence will no more be heard in your land,*", "congregation",
"ruin or destruction within your borders.", "congregation", true,
"You will call your walls, Salvation,*", "congregation",
"and all your portals, Praise.", "congregation", true,
"The sun will no more be your light by day; *", "congregation",
"by night you will not need the brightness of the moon.", "congregation", true,
"The LORD will be your everlasting light, *", "congregation",
"and your God will be your glory.", "congregation"
