"Seek the Lord while he willeth to be found; *", "congregation", "hangingIndent",
"call upon him when he draweth near.", "congregation", "indent",
"Let the wicked forsake their ways *", "congregation", "hangingIndent",
"and the evil ones their thoughts;", "congregation", "indent",
"And let them turn to the Lord, and he will have compassion, *", "congregation", "hangingIndent",
"and to our God, for he will richly pardon.", "congregation", "indent",
"For my thoughts are not your thoughts, *", "congregation", "hangingIndent",
"nor thy ways my ways, saith the Lord.", "congregation", "indent",
"For as the heavens are higher than the earth, *", "congregation", "hangingIndent",
"so are my ways higher than thy ways, and my thoughts than thy thoughts.", "congregation", "indent",
"For as rain and snow fall from the heavens *", "congregation", "hangingIndent",
"and return not again, but water the earth,", "congregation", "indent",
"Bringing forth life and giving growth, *", "congregation", "hangingIndent",
"seed for sowing and bread for eating,", "congregation", "indent",
"So is my word that goeth forth from my mouth; *", "congregation", "hangingIndent",
"it will not return to me empty;", "congregation", "indent",
"But it will accomplish that which I have purposed, *", "congregation", "hangingIndent",
"and prosper in that for which I sent it.", "congregation", "indent",
