"I will sing to the LORD, for he is lofty and uplifted; *"                        ,"congregation","hangingIndent"
"the horse and its rider has he hurled into the sea."                             ,"congregation","indent"
"The LORD is my strength and my refuge; *"                                        ,"congregation","hangingIndent"
"the LORD has become my Savior."                                                  ,"congregation","indent"
"This is my God and I will praise him, *"                                         ,"congregation","hangingIndent"
"the God of my people and I will exalt him."                                      ,"congregation","indent"
"The LORD is a mighty warrior; *"                                                 ,"congregation","hangingIndent"
"The LORD is his Name."                                                           ,"congregation","indent"
"The chariots of Pharaoh and his army has he hurled into the sea; *"              ,"congregation","hangingIndent"
"the finest of those who bear armor have been drowned in the Red Sea."            ,"congregation","indent"
"The fathomless deep has overwhelmed them; *"                                     ,"congregation","hangingIndent"
"they sank into the depths like a stone."                                         ,"congregation","indent"
"Your right hand, O LORD, is glorious in might; *"                                ,"congregation","hangingIndent"
"your right hand, O LORD, has overthrown the enemy."                              ,"congregation","indent"
"Who can be compared with you, O LORD, among the gods? *"                         ,"congregation","hangingIndent"
"Who is like you, glorious in holiness, awesome in renown, and worker of wonders?","congregation","indent"
"You stretched forth your right hand; *"                                          ,"congregation","hangingIndent"
"the earth swallowed them up."                                                    ,"congregation","indent"
"With your constant love you led the people you redeemed; *"                      ,"congregation","hangingIndent"
"you brought them in safety to your holy dwelling."                               ,"congregation","indent"
"You will bring them in and plant them *"                                         ,"congregation","hangingIndent"
"on the mount of your possession,"                                                ,"congregation","indent"
"The resting-place you have made for yourself, O LORD, *"                         ,"congregation","hangingIndent"
"the sanctuary, O LORD, that your hand has established."                          ,"congregation","indent"
"The LORD shall reign *"                                                          ,"congregation","hangingIndent"
"for ever and for ever."                                                          ,"congregation","indent"
