"Cantaré al Señor, que se ha coronado de triunfo *","congregation","hangingIndent"
"arrojando al mar caballos y jinetes.","congregation","indent"
"El Señor es mi fuerza y mi cántico; *","congregation","hangingIndent"
"él es mi salvación.","congregation","indent"
"Él es mi Dios, y lo alabaré; *","congregation","hangingIndent"
"es el Dios de mi padre, y lo enalteceré.","congregation","indent"
"El Señor es un guerrero; *","congregation","hangingIndent"
"su nombre es el Señor.","congregation","indent"
"El Señor arrojó al mar","congregation","hangingIndent"
"los carros y el ejército del faraón. *","congregation","indent"
"Los mejores oficiales egipcios","congregation","indent"
"se ahogaron en el Mar Rojo.","congregation","indent"
"Las aguas profundas se los tragaron; *","congregation","hangingIndent"
"¡como piedras se hundieron en los abismos!","congregation","indent"
"Tu diestra, Señor, reveló su gran poder; *","congregation","hangingIndent"
"tu diestra, Señor, despedazó al enemigo.","congregation","indent"
"¿Quién, Señor, se te compara entre los dioses? *","congregation","hangingIndent"
"¿Quién se te compara en grandeza y santidad?","congregation","indent"
"Tú, hacedor de maravillas, *","congregation","hangingIndent"
"nos impresionas con tus portentos.","congregation","indent"
"Extendiste tu brazo derecho, *","congregation","hangingIndent"
"¡y se los tragó la tierra!","congregation","indent"
"Por tu gran amor guías al pueblo que has rescatado; *","congregation","hangingIndent"
"por tu fuerza los llevas a tu santa morada.","congregation","indent"
"Tú los harás entrar, y los plantarás, *","congregation","hangingIndent"
"en el monte que te pertenece;","congregation","indent"
"en el lugar donde tú, Señor, habitas; *","congregation","hangingIndent"
"en el santuario que tú, Señor, te hiciste.","congregation","indent"
"¡El Señor reina por siempre y para siempre!","congregation","hangingIndent"
