"I will sing unto the Lord, for he hath triumphed gloriously; *", "congregation", "hangingIndent"
"the horse and its rider hath he thrown into the sea.", "congregation", "indent"
"The Lord is my strength and song *", "congregation", "hangingIndent"
"and he is become my salvation:", "congregation", "indent"
"He is my God, and I will prepare him an habitation; *", "congregation", "hangingIndent"
"my father’s God, and I will exalt him.", "congregation", "indent"
"The Lord is a man of war: *", "congregation", "hangingIndent"
"the Lord is his name.", "congregation", "indent"
"Pharaoh’s chariots and his host hath he cast into the sea: *", "congregation", "hangingIndent"
"his chosen captains also are drowned in the Red Sea.", "congregation", "indent"
"The depths have covered them: *", "congregation", "hangingIndent"
"they sank into the bottom as a stone.", "congregation", "indent"
"Thy right hand, O Lord, is become glorious in power: *", "congregation", "hangingIndent"
"thy right hand, O Lord, hath dashed in pieces the enemy.", "congregation", "indent"
"Who is like unto thee, O Lord, among the gods? *", "congregation", "hangingIndent"
"who is like thee, glorious in holiness, fearful in praises, doing wonders?", "congregation", "indent"
"Thou stretchedst out thy right hand, *", "congregation", "hangingIndent"
"the earth swallowed them.", "congregation", "indent"
"Thou in thy mercy hast led forth the people which thou hast redeemed: *", "congregation", "hangingIndent"
"thou hast guided them in thy strength unto thy holy habitation.", "congregation", "indent"
"Thou shalt bring them in, and plant them *", "congregation", "hangingIndent"
"in the mountain of thine inheritance,", "congregation", "indent"
"In the place O Lord, which thou hast made for thee to dwell in, *", "congregation", "hangingIndent"
"in the Sanctuary, O Lord, which thy hands have established.", "congregation", "indent"
"The Lord shall reign *", "congregation", "hangingIndent"
"for ever and for ever.", "congregation", "indent"
