"Surely, it is God who saves me; *", "congregation",
"I will trust in him and not be afraid.", "congregation", true,
"For the LORD is my stronghold and my sure defense, *", "congregation",
"and he will be my Savior.", "congregation", true,
"Therefore you shall draw water with rejoicing *", "congregation",
"from the springs of salvation.", "congregation", true,
"And on that day you shall say, *", "congregation",
"Give thanks to the LORD and call upon his Name;", "congregation", true,
"Make his deeds known among the peoples; *", "congregation",
"see that they remember that his Name is exalted.", "congregation", true,
"Sing the praises of the LORD, for he has done great things, *", "congregation",
"and this is known in all the world.", "congregation", true,
"Cry aloud, inhabitants of Zion, ring out your joy, *", "congregation",
"for the great one in the midst of you is the Holy One of Israel.", "congregation", true
s
