"God be merciful unto us, and bless us, *", "congregation", "hangingIndent"
"and show us the light of his countenance, and be merciful unto us;", "congregation", "indent"
"That thy way may be known upon earth, *", "congregation", "hangingIndent"
"thy saving health among all nations.", "congregation", "indent"
"Let the people praise thee, O God; *", "congregation", "hangingIndent"
"yea let all the people praise thee.", "congregation", "indent"
"O let the nations rejoice and be glad; *", "congregation", "hangingIndent"
"for thou shalt judge the folk righteously, and govern the nations upon earth.", "congregation", "indent"
"Let the people praise thee, O God; *", "congregation", "hangingIndent"
"yea, let all the people praise thee.", "congregation", "indent"
"Then shall the earth bring forth her increase; *", "congregation", "hangingIndent"
"and God, even our own God, shall give us his blessing.", "congregation", "indent"
"God shall bless us, *", "congregation", "hangingIndent"
"and all the ends of the world shall fear him.", "congregation", "indent"
