"The Suffrages", "heading"
"O Lord, show your mercy upon us;", "leader_dialogue"
"And grant us your salvation.", "congregation_dialogue"
"O Lord, guide those who govern us", "leader_dialogue"
"And lead us in the way of justice and truth.", "congregation_dialogue"
"Clothe your ministers with righteousness", "leader_dialogue"
"And let your people sing with joy.", "congregation_dialogue"
"O Lord, save your people", "leader_dialogue"
"And bless your inheritance.", "congregation_dialogue"
"Give peace in our time, O Lord", "leader_dialogue"
"And defend us by your mighty power.", "congregation_dialogue"
"Let not the needy, O Lord, be forgotten", "leader_dialogue"
"Nor the hope of the poor be taken away.", "congregation_dialogue"
"Create in us clean hearts, O God", "leader_dialogue"
"And take not your Holy Spirit from us.", "congregation_dialogue"
