"The Suffrages", "heading"
"主啊，憐憫我們；", "leader_dialogue"
"也施恩拯救我們。", "congregation_dialogue"
"主啊，拯救我們的國家；", "leader_dialogue"
"也引導我們走在公義和真理上。", "congregation_dialogue"
"求主使主所立的聖品人常有善義；", "leader_dialogue"
"也求主使主的子民常有喜樂。", "congregation_dialogue"
"主啊，拯救祢的子民；", "leader_dialogue"
"也賜福給祢的子民。", "congregation_dialogue"
"求主賜平安；", "leader_dialogue"
"只有在主裏才能平安度日。", "congregation_dialogue"
"主啊，叫我們不忘記缺乏的人；", "leader_dialogue"
"求主使貧苦人常存盼望。", "congregation_dialogue"
"上帝啊，為我們造清潔的心；", "leader_dialogue"
"不要從我們收回祢的聖靈。", "congregation_dialogue"
