"Los Sufragios", "heading"
"Señor, muéstranos tu misericordia", "leader_dialogue"
"Y danos tu salvación.", "congregation_dialogue"
"Señor, guía a los que nos gobiernan;", "leader_dialogue"
"Y guíanos por el camino de la justicia y la verdad.", "congregation_dialogue"
"Viste a tus ministros de justicia;", "leader_dialogue"
"Y deja que tu pueblo cante con alegría.", "congregation_dialogue"
"Señor, salva a tu pueblo;", "leader_dialogue"
"y bendice tu herencia.", "congregation_dialogue"
"Da paz en nuestro tiempo, oh Señor;", "leader_dialogue"
"y defiéndenos con tu gran poder.", "congregation_dialogue"
"No dejes que el necesitado, oh Señor, sea olvidado;", "leader_dialogue"
"ni la esperanza de los pobres sea quitada.", "congregation_dialogue"
"Crea en nosotros corazones limpios, oh Dios;", "leader_dialogue"
"Y no nos quites tu Santo Espíritu.", "congregation_dialogue"
