"Los Sufragios", "heading"
"Para que esta noche sea santa, buena y pacífica,", "leader_dialogue",
"Te suplicamos, Señor.", "congregation_dialogue",
"Para que tus santos ángeles nos conduzcan por senderos de paz y buena voluntad,", "leader_dialogue",
"Te suplicamos, Señor.", "congregation_dialogue",
"Para que seamos absueltos y perdonados por nuestros pecados y ofensas,", "leader_dialogue",
"Te suplicamos, Señor.", "congregation_dialogue",
"Para que haya paz en tu Iglesia y en el mundo entero,", "leader_dialogue",
"Te suplicamos, Señor.", "congregation_dialogue",
"Para que partamos de esta vida en tu fe y temor, y no seamos condenados ante el gran tribunal de Cristo,", "leader_dialogue",
"Te suplicamos, Señor.", "congregation_dialogue",
"Para que estemos unidos por tu Espíritu Santo en la comunión de [ ___________ y] todos tus santos, confiando unos a otros y toda nuestra vida a Cristo,", "leader_dialogue",
"Te suplicamos, Señor.", "congregation_dialogue",
