"The Supplication"                                                                                                                                                                                                                                                                                                                                                   ,"heading"
"O Lord, arise and help us;"                                                                                                                                                                                                                                                                                                                                         ,"leader"      ,"hangingIdent",true
"And deliver us for your Name’s sake."                                                                                                                                                                                                                                                                                                                               ,"congregation","indent"
"O God, we have heard with our ears, and our forebears have declared to us, the noble works that you did in their days, and in the time before them."                                                                                                                                                                                                              ,"congregation","indent"
"O Lord, arise and help us;"                                                                                                                                                                                                                                                                                                                                         ,"leader"      ,"hangingIdent",true
"And deliver us for your Name’s sake."                                                                                                                                                                                                                                                                                                                               ,"congregation","indent"
"Glory be to the Father, and to the Son, and to the Holy Spirit; as it was in the beginning, is now, and ever shall be, world without end. Amen."                                                                                                                                                                                                                    ,"congregation","indent"
"O Lord, arise and help us;"                                                                                                                                                                                                                                                                                                                                         ,"leader"      ,"hangingIdent",true
"And deliver us for your Name’s sake."                                                                                                                                                                                                                                                                                                                               ,"congregation","indent"
"From our enemies defend us, O Christ;"                                                                                                                                                                                                                                                                                                                              ,"leader"      ,"hangingIdent",true
"Graciously behold our afflictions."                                                                                                                                                                                                                                                                                                                                 ,"congregation","indent"
"With pity behold the sorrows of our hearts;"                                                                                                                                                                                                                                                                                                                        ,"leader"      ,"hangingIdent",true
"Mercifully forgive the sins of your people."                                                                                                                                                                                                                                                                                                                        ,"congregation","indent"
"With favor hear our prayers;"                                                                                                                                                                                                                                                                                                                                       ,"leader"      ,"hangingIdent",true
"O Son of David, have mercy upon us."                                                                                                                                                                                                                                                                                                                                ,"congregation","indent"
"Be pleased to hear us, O Christ;"                                                                                                                                                                                                                                                                                                                                   ,"leader"      ,"hangingIdent",true
"Graciously hear us, O Christ; graciously hear us, O Lord Christ."                                                                                                                                                                                                                                                                                                   ,"congregation","indent"
"The Officiant prays"                                                                                                                                                                                                                                                                                                                                                ,"rubric"
"Let us pray."                                                                                                                                                                                                                                                                                                                                                       ,"congregation","hangingIndent"
"Look mercifully, O Father, on our infirmities; and, for the glory of your Name, rescue us from all those evils we now endure; and grant that in all our troubles we may put our whole trust and confidence in your mercy, serving you in holiness and purity of life, to your honor and glory; through our only Mediator and Advocate, Jesus Christ our Lord. Amen.","leader",""
