"Venite Exultemus"                                                               ,"heading"
"Oh Vengan Exaltemos"                                                            ,"subheading"  ,
"Oficiante y Pueblo juntos, todos de pie"                                        ,"rubric"      ,
"", "spacer"
"Vengan, cantemos con júbilo al Señor; *"                                        ,"congregation","hangingIndent"
"aclamemos a la roca de nuestra salvación."                                      ,"congregation","indent"
"Lleguemos ante él con acción de gracias, *"                                     ,"congregation","hangingIndent"
"aclamémoslo con cánticos."                                                      ,"congregation","indent"
"Porque el Señor es el gran Dios, *"                                             ,"congregation","hangingIndent"
"el gran Rey sobre todos los dioses."                                            ,"congregation","indent"
"En sus manos están los abismos de la tierra; *"                                 ,"congregation","hangingIndent"
"suyas son las cumbres de los montes."                                           ,"congregation",true
"Suyo es el mar, porque él lo hizo; *"                                           ,"congregation","hangingIndent"
"con sus manos formó la tierra firme."                                           ,"congregation","indent"
"Vengan, postrémonos reverentes, *"                                              ,"congregation","hangingIndent"
"doblemos la rodilla"                                                            ,"congregation","indent"
"ante el Señor nuestro Hacedor."                                                 ,"congregation","indent"
"Porque él es nuestro Dios *"                                                    ,"congregation","hangingIndent"
"y nosotros somos el pueblo de su prado;"                                        ,"congregation","hangingIndent"
"¡Somos un rebaño bajo su cuidado!"                                             ,"congregation","indent"
"Si ustedes oyen hoy su voz,"                                                   ,"congregation","hangingIndent"
"no endurezcan el corazón, *"                                                    ,"congregation","indent"
"como en Meribá, como aquel día en Masá, en el desierto,"                        ,"congregation","indent"
"cuando sus antepasados me tentaron, *"                                          ,"congregation","hangingIndent"
"cuando me pusieron a prueba, a pesar de haber visto mis obras."                 ,"congregation","indent"
"Cuarenta años estuve enojado con aquella generación, y dije: *"                 ,"congregation","hangingIndent"
"«Son un pueblo mal encaminado que no reconoce mis senderos»."                   ,"congregation","indent"
"Así que, en mi enojo, hice este juramento: *"                                   ,"congregation","hangingIndent"
"«Jamás entrarán en mi reposo»."                                                 ,"congregation","indent"
