"Venite"                                                                     ,"heading"
"O Come"                                                                     ,"subheading"   ,
"Officiant and People, all standing"                                         ,"rubric"
"", "spacer"
"O come, let us sing unto the Lord; *", "congregation", "hangingIdent"
"let us heartily rejoice in the strength of our salvation.", "congregation", "indent"
"Let us come before his presence with thanksgiving; *", "congregation", "hangingIdent"
"and show ourselves glad in him with psalms.", "congregation", "indent"
"For the Lord is a great God *", "congregation", "hangingIdent"
"and a great King above all gods.", "congregation", "indent"
"In his hand are all the corners of the earth; *", "congregation", "hangingIdent"
"and the strength of the hills is his also.", "congregation", "indent"
"The sea is his, and he made it, *", "congregation", "hangingIdent"
"and his hands prepared the dry land.", "congregation", "indent"
"O come, let us worship and fall down, *", "congregation", "hangingIdent"
"and kneel before the Lord our Maker.", "congregation", "indent"
"For he is the Lord our God, *", "congregation", "hangingIdent"
"and we are the people of his pasture, and the sheep of his hand.", "congregation", "indent"
"Today, if ye will hear his voice, harden not your hearts *", "congregation", "hangingIdent"
"as in the provocation, and as in the day of temptation in the wilderness,", "congregation", "indent"
"When your fathers tempted me, *", "congregation", "hangingIdent"
"proved me, and saw my works.", "congregation", "indent"
"Forty years long was I grieved with this generation and said, *", "congregation", "hangingIdent"
"It is a people that err in their hearts, for they have not known my ways:", "congregation", "indent"
"Unto whom I swore in my wrath, *", "congregation", "hangingIdent"
"that they should not enter into my rest.", "congregation", "indent"
"Psalm 95"
