uuid,title,content,spanish_title,spanish_content,english_page,spanish_page
af4e2b9d-8455-4111-aad3-5747e8a2499b,A Prayer for Mission,"O God, you manifest in your servants the signs of your presence: Send forth upon us the Spirit of love...",Colectas por la Misión de la Iglesia,"Oh Dios, manifiestas en tus siervos las señales de tu presencia: Envía sobre nosotros el Espíritu de amor, para que, en compañía de unos con otros, tu abundante gracia aumente entre nosotros; por Jesucristo nuestro Señor. Amén.",51,51
386d6a25-6951-46a8-9dc0-d23c7d6f0ca0,For the Ordination of Deacons,"Almighty God, by your divine providence you appointed various Orders of Ministers in your Church...",Ordenación de Diáconos (Colecta),"Dios Todopoderoso, por tu divina providencia designaste varias Órdenes de Ministros en tu Iglesia, e inspiraste a tus Apóstoles a nombrar a la Orden de los Diáconos al primer mártir Esteban, junto con otros: misericordiosamente, contempla a estos tus siervos ahora llamados al mismo Oficio y administración...",475,475
b19087fd-6f74-43a5-a303-88623346253d,For Those Still in Our Pilgrimage,"Grant to us who are still in our pilgrimage, and who walk as yet by faith, that your Holy Spirit may lead us...",Sepultura de los Difuntos (Oración),"Concédenos a los que todavía estamos en nuestro peregrinaje y a los que todavía caminamos por la fe, que tu Espíritu Santo nos guíe en santidad y justicia todos nuestros días.",254,254
a11a5f5e-9b54-4261-85ee-f8adcd25085e,For the Blessing of a Grave,"O God, whose blessed Son was laid in a tomb in the garden: Bless, we pray, this grave...",Sepultura (Bendición del Sepulcro),"Oh Dios, cuyo Hijo bendito fue puesto en un sepulcro en el huerto: Bendice, te rogamos, este sepulcro, apartado para el reposo de tu siervo N....",261,261
ddafd47b-615b-444a-8ad2-9e2e4d6455fd,At a Burial,"In sure and certain hope of the resurrection to eternal life through our Lord Jesus Christ, we commend...",Sepultura (El Sepelio),"Con esperanza cierta y segura de la resurrección a la vida eterna por medio de nuestro Señor Jesucristo, encomendamos al Dios Todopoderoso a nuestro hermano N....",261,261
002eacea-b492-434d-be89-9be2b6cf788e,"Solemn Collect against Evil, Sickness, and Pestilence","Let us pray to God the Father Almighty, that he would cleanse the world from all evil; deliver it from pestilence...",Colectas Solemnes (Viernes Santo),"Oremos a Dios Padre Todopoderoso, que limpie el mundo de todo mal; líbralo de la pestilencia y del hambre; libera a los que están en cautiverio...",569,569
932210c5-13d9-4468-a4ab-e2b33d271999,Collect of a New Rector,"O Lord my God, I am not worthy to have you come under my roof; yet you have called your servant to stand...",La Institución de un Rector (Oración),"Señor Dios mío, no soy digno de que entres bajo mi techo; sin embargo, has llamado a tu siervo para que esté en tu casa y sirva en tu altar. A Ti y a tu servicio me dedico en cuerpo, alma y espíritu...",520,520
f2d07ac6-0518-4806-a88b-3fa030b2eff0,Confession of Sin (Daily Office),"Almighty and most merciful Father, we have erred and strayed from your ways like lost sheep...",Confesión del Pecado (Oficio Diario),"Padre todopoderoso y misericordioso, nos hemos equivocado y desviado de tus caminos como ovejas extraviadas. Hemos seguido demasiado los engaños y deseos de nuestro propio corazón...",12,12
b5973483-8379-45d2-aa65-9804a92ac829,Israel's Deliverance at the Red Sea,"O God, whose wonderful deeds of old shine forth even to our own day, by the power of your mighty arm you once delivered...",La Liberación de Israel (Vigilia Pascual),"Oh Dios, cuyas maravillas de antaño resplandecen hasta nuestros días, por el poder de tu brazo poderoso libraste una vez a tu pueblo escogido de la esclavitud...",588,588
d72702f7-79f6-4a6e-aeee-658c3e84e03d,A Prayer for the Dead,"May his soul and the souls of all the faithful departed, through the mercy of God, rest in peace. Amen.",Oración Conclusiva (Sepelio),"Que su alma, y las almas de todos los fieles difuntos, por la misericordia de Dios, descansen en paz. Amén.",241,241
e3ccce19-9c84-419a-be22-4c22a38244be,For the Gift of Children in Marriage,"Bestow upon them, if it be your will, the gift and heritage of children, and the grace to bring them up...",Santo Matrimonio (Oración),"Otórgales, si es tu voluntad, el don y la herencia de los hijos, y la gracia de educarlos para que te conozcan, te amen y te sirvan.",208,208
9ce32654-dd42-4517-9206-ef6cd903aedc,Compline Antiphon,"Guide us waking, O Lord, and guard us sleeping; that awake we may watch with Christ...",Completas (Antífona),"Guíanos despiertos, oh Señor, y guárdanos durmiendo; para que despiertos velemos con Cristo, y dormidos descansemos en paz.",65,65
0463969b-6832-4ff2-8904-741d7c93503a,Concluding Prayer at the Institution of a Rector,"Almighty God, you have built your Church upon the foundation of the Apostles and Prophets, Jesus Christ himself being the chief cornerstone...",Institución de un Rector (Oración Final),"Dios todopoderoso, que has edificado tu Iglesia sobre el fundamento de los Apóstoles y Profetas, siendo la principal piedra del ángulo el mismo Jesucristo...",521,521
b5805e08-849f-4331-8958-d738a1667f6a,A Collect for Strength to Await Christ's Return,"O God our King, by the resurrection of your Son Jesus Christ on the first day of the week, you conquered sin...",Colecta por Fortaleza (Oficio Diario),"Oh Dios Rey nuestro, por la resurrección de tu Hijo Jesucristo el primer día de la semana, tú venciste el pecado, hiciste huir la muerte y nos diste la esperanza de la vida eterna...",22,22
931aee36-a352-42c1-b6ed-132dc3fcfeac,A Prayer for Mission,"O God, you have made of one blood all the peoples of the earth, and sent your blessed Son to preach peace...",Colecta por la Misión (Oficio Diario),"Oh Dios, que has hecho de una sola sangre a todos los pueblos de la tierra, y enviaste a tu bendito Hijo a predicar la paz...",24,24
52a03578-e395-4ba6-ac01-58e6bfd6bd27,A Prayer for Mission,"Lord Jesus Christ, you stretched out your arms of love on the hard wood of the Cross that everyone might come...",Colecta por la Misión (Oficio Diario),"Señor Jesucristo, tú extendiste tus brazos amorosos sobre el cruel madero de la cruz, para estrechar a todos los seres humanos en tu abrazo salvador...",24,24
