name,setting_string_order
language_style,0
psalm_translation,1
bible_translation,2
psalter,3
reading_cycle,4
reading_length,5
reading_audio,6
canticle_rotation,7
psalm_style,8
lectionary,9
confession,10
absolution,11
morning_prayer_invitatory,12
reading_headings,13
language_style_for_our_father,14
national_holidays,15
suffrages,16
collects,17
mp_great_litany,18
ep_great_litany,19
general_thanksgiving,20
chrysostom,21
grace,22
o_antiphons,23
family_readings,24
family_reading_audio,25
family_collect,26
family-opening-sentence,27
family-creed,28
