uuid,abbreviation
937d566e-59d3-4768-9264-e9f00a913479,A
dca9e98b-a2ab-4944-b506-35a4b828a716,B
427b0c29-fbf8-4de6-80c3-c7d6a95390f0,A
5700b5f6-5a33-48df-ad32-af907dec5961,B
f4de81e2-ed94-4fb4-ad0f-4c2f887c4bea,A
d39e45e9-69f4-484f-ae66-48c22e82d5b6,B
afd9d945-7286-4afc-b6dc-15e4519a3f88,C
4115caa7-187a-4d97-86a4-208e9a191de7,D
8f26aa16-80a9-4822-9b1d-dfbc47a58e3e,F
2f44db14-49d9-495c-90d8-7196855d4536,G
b861ccb9-2f59-4e45-847d-34a9ac9b735c,A
9da330ac-ca40-4664-a287-609ef31d0ef8,B
bd7b40fd-c24b-4017-ad0d-9e3c19eea0c6,A
253b07b9-d9ed-49d3-af89-b8222feb9d10,B
6393516b-dfa4-493a-8d04-d1d16d86b7cb,A
f9c82009-5899-4304-a86e-28096a841429,B
7a74ef8b-0eba-4b7a-a8d2-a8b0f30a6087,A
32ccf186-ebfd-4d05-be48-07f979346173,B
90c3663c-04c9-4ebc-b752-bcc7df7a1e99,A
3be8abfe-d452-4dd1-adc9-8d7b998138db,B
a8c28a34-d388-4be8-bf96-c3363152ac47,C
31f13cb6-888c-4c75-bfb5-381212f34b19,A
131e3fba-58fe-4b8b-9074-0434d2a8ba52,B
1140c0db-8a20-445c-b21c-80873e996a58,C
d5de0416-a843-4677-a7e5-70961fb65a9c,A
5c672ab6-923d-4b6f-abe5-eb50c22d8787,B
c632b4b8-2f20-4363-8319-d4d4ddc3f7fb,A
ac5c4fef-960c-4ed4-a605-370f4d96db24,B
17dc106f-f838-41f4-954c-52e431d7f58c,C
addea4e9-6787-4487-8a97-9c8b568c0087,A
7af59937-2cb9-4553-9b09-e165b26d0344,B
2f22b54c-cdeb-4120-a955-94b84b144335,A
150376b8-5f98-4610-80d0-8abf9bcddd16,B
9019d525-0773-4f73-879b-4d213747e2e2,C
8c278fd2-3b45-45d8-8974-665056a630b9,D
ac494252-6077-48a4-994b-4e4b963183ed,A
66ead4c7-9225-4898-a0f3-f22422b30963,B
79a72eef-f7a3-4fec-9a3b-14a523e431c3,A
95f36f4b-d938-4be4-a920-c3acdf70a40d,B
28f8d481-7e0f-4a42-b564-3ccaf9b22c56,A
eaf50b9b-6805-4349-aa77-f1c94c035e2a,B
0b2ee614-0d7b-496e-b2bb-fefd3c41e630,C
c32731b7-681b-4196-8a75-d5345f2841e5,D
f6f48b7a-63ee-4553-a4af-093173c7d7b9,A
52fb3415-8228-4757-9639-9e401954ad52,B
5b4ef919-88d3-454c-a8b9-44fa8b09a2ba,C
3ac5ddd8-a16a-40a3-9bb9-3febaffcd426,A
6a337620-b2c2-44ee-99b4-786372bacbd0,B
c024f7f7-f3fa-4dc8-b640-86be90912fe2,A
e87ec72b-b8be-4b8b-97fb-c73da03995d0,B
213a172a-1281-43f8-a2cb-e08884a6b827,C
0d75919c-b09d-4c38-ae66-62fa9d4d88a9,A
9aa969f8-1f7f-44b0-8efb-794469338fa5,B
3f672e9a-9232-4298-a3ee-3375999dc178,C
7e3f83dd-7569-4021-b550-076b9c912169,A
384d3000-859d-4589-86bd-7097c78ff176,B
c45618ef-272a-4d71-b318-d93f334e01b5,A
8aac1d14-0f97-407d-83de-a59b9882a942,B
b5b52b14-a145-4568-937a-a9a3979019ba,A
c3126ee7-fcea-4f86-9104-f908ce629c37,B
9d22af2b-68fc-4f8c-9e9e-1869f6e1e829,A
dd9f57f2-b563-4944-a71a-da2eb0e8ae1c,C
4ef930c7-04d1-46e7-b90a-32f440ea54c1,D
a3ba0707-19b5-4ab9-be33-83cd54793c40,B
3830995b-82e8-47c6-8bc2-61073970b12a,A
98ad9b23-97cd-4470-b869-351b9dd179d0,B
ba4556b9-bd1a-4663-8006-89f2f8bc86fd,A
16e28641-be0b-4671-bcd5-206f7459d786,B
614fcf09-d3e4-4de8-befa-c92f3e40026c,A
ae1cab0c-27f6-48d1-bab1-8319e6a0a1e5,B
3461cb29-6da7-4d9e-996a-b1e3bfeb1188,C
600ec687-4787-43b1-91af-c6069203bd17,A
3ba6b1d0-0795-4c7c-9e79-f4bb51e9e802,B
57e06d13-047d-4c91-96bb-6db93926f746,A
3cfb2b57-2bd9-4624-8431-3dabbb6dacc0,B
